Etapa,Total de Pastas,Pastas com Arquivo,Diferença,Pastas Vazias,Pastas c/ Arquivos,Últ. Atualização
Seguros Unimed - Arquivo de Cadastro/Faturamento,1,1,0,Nenhuma,FCTH,13/06/2025
Seguros Unimed - Base Aberta de Sinistro,1,1,0,Nenhuma,FCTH,13/06/2025
Seguros Unimed - Relatório Gerencial de Sinistralidade,1,1,0,Nenhuma,FCTH,13/06/2025
Seguros Unimed - Bi Zetta,1,0,1,FCTH,Nenhuma,Sem arquivos
Seguros Unimed - Envio Relatório de Sinistralidade,1,0,1,FCTH,Nenhuma,Sem arquivos
Seguros Unimed - Quiver - Anexar Relatório de Sinistralidade,1,0,1,FCTH,Nenhuma,Sem arquivos
Bradesco (manual) - Relatório Gerencial de Sinistralidade,6,6,0,Nenhuma,"ASTORIA ,BRUKER ,ENERGIS8 ,FRAGON ,NINECON ,RD_ADS",Sem arquivos
Bradesco (manual) - Produção do Relatório,6,6,0,Nenhuma,"ASTORIA ,BRUKER ,ENERGIS8 ,FRAGON ,NINECON ,RD_ADS",Sem arquivos
Bradesco (Manual) - Envio Relatório de Sinistralidade,Caminho não encontrado,,,,,Erro
Bradesco (Manual) - Quiver - Anexar Relatório de Sinistralidade,Caminho não encontrado,,,,,Erro
SulAmérica - Arquivo de Cadastro/Faturamento,7,7,0,Nenhuma,"BBP ,CARLSONS_PRODUTO ,HOTEL_UNIQUE ,ONCOMED ,PIPEK_ADVOGADOS ,POLI_FILTRO ,SCHWING",13/06/2025
SulAmérica - Base Aberta de Sinistro,7,7,0,Nenhuma,"BBP ,CARLSONS_PRODUTO ,HOTEL_UNIQUE ,ONCOMED ,PIPEK_ADVOGADOS ,POLI_FILTRO ,SCHWING",13/06/2025
SulAmérica - Relatório Gerencial de Sinistralidade,7,7,0,Nenhuma,"BBP ,CARLSONS_PRODUTO ,HOTEL_UNIQUE ,ONCOMED ,PIPEK_ADVOGADOS ,POLI_FILTRO ,SCHWING",13/06/2025
SulAmérica - Bi Zetta,7,0,7,"BBP ,CARLSONS_PRODUTO ,HOTEL_UNIQUE ,ONCOMED ,PIPEK_ADVOGADOS ,POLI_FILTRO ,SCHWING",Nenhuma,Sem arquivos
SulAmérica - Envio Relatório de Sinistralidade,7,0,7,"BBP ,CARLSONS_PRODUTO ,HOTEL_UNIQUE ,ONCOMED ,PIPEK_ADVOGADOS ,POLI_FILTRO ,SCHWING",Nenhuma,Sem arquivos
SulAmérica - Quiver - Anexar Relatório de Sinistralidade,7,0,7,"BBP ,CARLSONS_PRODUTO ,HOTEL_UNIQUE ,ONCOMED ,PIPEK_ADVOGADOS ,POLI_FILTRO ,SCHWING",Nenhuma,Sem arquivos
Unimed Nacional - Arquivo de Cadastro/Faturamento,1,1,0,Nenhuma,GUINDASTES_TATUAPE,13/06/2025
Unimed Nacional - Base Aberta de Sinistro,1,1,0,Nenhuma,GUINDASTES_TATUAPE,13/06/2025
Unimed Nacional - Relatório Gerencial de Sinistralidade,1,1,0,Nenhuma,GUINDASTES_TATUAPE,13/06/2025
Unimed Nacional - Bi Zetta,1,0,1,GUINDASTES_TATUAPE,Nenhuma,Sem arquivos
Unimed Nacional - Envio Relatório de Sinistralidade,1,0,1,GUINDASTES_TATUAPE,Nenhuma,Sem arquivos
Unimed Nacional - Quiver - Anexar Relatório de Sinistralidade,1,0,1,GUINDASTES_TATUAPE,Nenhuma,Sem arquivos
Porto Seguro - Arquivo de Cadastro/Faturamento,21,20,1,BLUM,"ARAUJO_ENGENHARIA ,ASAM ,BENICIO_ADVOGADOS ,BOTANIQUE_HOTEL ,BRFIBRA ,CIMEMPRIMO ,CM_SOFTWARE ,DASCAM_CORRETORA ,EUROBIKE_BCLV ,FRACTALIA_BASIL ,HOUSI_SA ,HY_CITE ,MAIORH ,NTA ,PERI ,PLANTEC ,RUNTALENT ,R_CELL ,SAO_CAMILO ,STARSOFT_BRASIL",13/06/2025
Porto Seguro - Base Aberta de Sinistro,21,0,21,"ARAUJO_ENGENHARIA ,ASAM ,BENICIO_ADVOGADOS ,BLUM ,BOTANIQUE_HOTEL ,BRFIBRA ,CIMEMPRIMO ,CM_SOFTWARE ,DASCAM_CORRETORA ,EUROBIKE_BCLV ,FRACTALIA_BASIL ,HOUSI_SA ,HY_CITE ,MAIORH ,NTA ,PERI ,PLANTEC ,RUNTALENT ,R_CELL ,SAO_CAMILO ,STARSOFT_BRASIL",Nenhuma,13/06/2025
Porto Seguro - Relatório Gerencial de Sinistralidade,21,21,0,Nenhuma,"ARAUJO_ENGENHARIA ,ASAM ,BENICIO_ADVOGADOS ,BLUM ,BOTANIQUE_HOTEL ,BRFIBRA ,CIMEMPRIMO ,CM_SOFTWARE ,DASCAM_CORRETORA ,EUROBIKE_BCLV ,FRACTALIA_BASIL ,HOUSI_SA ,HY_CITE ,MAIORH ,NTA ,PERI ,PLANTEC ,RUNTALENT ,R_CELL ,SAO_CAMILO ,STARSOFT_BRASIL",13/06/2025
Porto Seguro - Bi Zetta,21,0,21,"ARAUJO_ENGENHARIA ,ASAM ,BENICIO_ADVOGADOS ,BLUM ,BOTANIQUE_HOTEL ,BRFIBRA ,CIMEMPRIMO ,CM_SOFTWARE ,DASCAM_CORRETORA ,EUROBIKE_BCLV ,FRACTALIA_BASIL ,HOUSI_SA ,HY_CITE ,MAIORH ,NTA ,PERI ,PLANTEC ,RUNTALENT ,R_CELL ,SAO_CAMILO ,STARSOFT_BRASIL",Nenhuma,13/06/2025
Porto Seguro - Envio Relatório de Sinistralidade,21,0,21,"ARAUJO_ENGENHARIA ,ASAM ,BENICIO_ADVOGADOS ,BLUM ,BOTANIQUE_HOTEL ,BRFIBRA ,CIMEMPRIMO ,CM_SOFTWARE ,DASCAM_CORRETORA ,EUROBIKE_BCLV ,FRACTALIA_BASIL ,HOUSI_SA ,HY_CITE ,MAIORH ,NTA ,PERI ,PLANTEC ,RUNTALENT ,R_CELL ,SAO_CAMILO ,STARSOFT_BRASIL",Nenhuma,Sem arquivos
Porto Seguro - Quiver - Anexar Relatório de Sinistralidade,21,0,21,"ARAUJO_ENGENHARIA ,ASAM ,BENICIO_ADVOGADOS ,BLUM ,BOTANIQUE_HOTEL ,BRFIBRA ,CIMEMPRIMO ,CM_SOFTWARE ,DASCAM_CORRETORA ,EUROBIKE_BCLV ,FRACTALIA_BASIL ,HOUSI_SA ,HY_CITE ,MAIORH ,NTA ,PERI ,PLANTEC ,RUNTALENT ,R_CELL ,SAO_CAMILO ,STARSOFT_BRASIL",Nenhuma,Sem arquivos
Omint - Arquivo de Cadastro/Faturamento,1,0,1,SIMOES_PIRES,Nenhuma,13/06/2025
Omint - Base Aberta de Sinistro,1,0,1,SIMOES_PIRES,Nenhuma,13/06/2025
Omint - Relatório Gerencial de Sinistralidade,1,0,1,SIMOES_PIRES,Nenhuma,13/06/2025
Omint - Bi Zetta,1,0,1,SIMOES_PIRES,Nenhuma,Sem arquivos
Omint - Envio Relatório de Sinistralidade,1,0,1,SIMOES_PIRES,Nenhuma,Sem arquivos
Omint - Quiver - Anexar Relatório de Sinistralidade,1,0,1,SIMOES_PIRES,Nenhuma,Sem arquivos
Omint (manual) - Relatório Gerencial de Sinistralidade,4,0,4,"ADVANTECH_BRASIL ,BRAVO_PROJETOS ,CARLSONS_PRODUTO ,NEGRAO_FERRARI",Nenhuma,Sem arquivos
Omint (manual) - Produção do Relatório,4,0,4,"ADVANTECH_BRASIL ,BRAVO_PROJETOS ,CARLSONS_PRODUTO ,NEGRAO_FERRARI",Nenhuma,Sem arquivos
Omint (manual) - Envio Relatório de Sinistralidade,Caminho não encontrado,,,,,Erro
Omint (manual) - Quiver - Anexar Relatório de Sinistralidade,Caminho não encontrado,,,,,Erro
Hapvida - Arquivo de Cadastro/Faturamento,1,0,1,GLOBALWEB_GWO,Nenhuma,Sem arquivos
Hapvida - Base Aberta de Sinistro,1,0,1,GLOBALWEB_GWO,Nenhuma,Sem arquivos
Hapvida - Relatório Gerencial de Sinistralidade,1,0,1,GLOBALWEB_GWO,Nenhuma,Sem arquivos
Hapvida - Bi Zetta,1,0,1,GLOBALWEB_GWO,Nenhuma,Sem arquivos
Hapvida - Envio Relatório de Sinistralidade,1,0,1,GLOBALWEB_GWO,Nenhuma,Sem arquivos
Hapvida - Quiver - Anexar Relatório de Sinistralidade,1,0,1,GLOBALWEB_GWO,Nenhuma,Sem arquivos
Plena Saúde - Arquivo de Cadastro/Faturamento,1,0,1,MC_DONALDS,Nenhuma,13/06/2025
Plena Saúde - Base Aberta de Sinistro,1,0,1,MC_DONALDS,Nenhuma,13/06/2025
Plena Saúde - Relatório Gerencial de Sinistralidade,1,0,1,MC_DONALDS,Nenhuma,13/06/2025
Plena Saúde - Bi Zetta,1,0,1,MC_DONALDS,Nenhuma,Sem arquivos
Plena Saúde - Envio Relatório de Sinistralidade,1,0,1,MC_DONALDS,Nenhuma,Sem arquivos
Plena Saúde - Quiver - Anexar Relatório de Sinistralidade,1,0,1,MC_DONALDS,Nenhuma,Sem arquivos
